height,geometry
4,"POLYGON ((246953.48539999966 2551667.5211999994, 246953.48539999966 2551650.7084999997, 246942.6771999998 2551650.7084999997, 246943.27770000044 2551668.722100001, 246953.48539999966 2551667.5211999994))"
4,"POLYGON ((245337.7592000002 2551650.6051000003, 245325.75009999983 2551650.0045999996, 245325.14960000012 2551660.2123000007, 245337.79069999978 2551661.0023999996, 245337.7592000002 2551650.6051000003))"
4,"POLYGON ((246939.0745000001 2551667.5211999994, 246937.27309999987 2551649.5075000003, 246927.66590000037 2551650.107999999, 246925.79339999985 2551667.8967000004, 246934.87129999977 2551668.722100001, 246939.0745000001 2551667.5211999994))"
16,"POLYGON ((246968.49670000002 2551664.5188999996, 246967.89630000014 2551649.5075000003, 246958.28899999987 2551650.107999999, 246958.88949999958 2551665.719799999, 246968.49670000002 2551664.5188999996))"
3,"POLYGON ((246982.90759999957 2551663.918400001, 246981.1063000001 2551649.5075000003, 246971.49899999984 2551650.7084999997, 246972.69990000036 2551665.1193000004, 246974.50129999965 2551665.719799999, 246982.90759999957 2551663.918400001))"
6,"POLYGON ((244549.1138000004 2551648.5076, 244533.2390999999 2551651.2685000002, 244533.24000000022 2551665.2782000005, 244550.62870000023 2551667.1086, 244549.1138000004 2551648.5076))"
4,"POLYGON ((245319.1451000003 2551658.4110000003, 245320.3459999999 2551649.404100001, 245305.3345999997 2551651.806, 245306.53550000023 2551659.0113999993, 245319.1451000003 2551658.4110000003))"
8,"POLYGON ((246018.95579999965 2551661.3803000003, 246029.16359999962 2551657.177100001, 246028.5630999999 2551653.5744000003, 246022.5586000001 2551648.1702999994, 246013.55179999955 2551651.1725999992, 246013.55179999955 2551652.3735000007, 246009.94900000002 2551652.3735000007, 246007.5471999999 2551657.7775, 246016.2182 2551665.7259, 246015.95359999966 2551666.7843999993, 246017.75490000006 2551667.9853000008, 246018.95579999965 2551661.3803000003), (246015.35309999995 2551659.5789, 246015.95359999966 2551659.5789, 246015.95359999966 2551660.1794000007, 246015.35309999995 2551659.5789), (246013.55179999955 2551657.177100001, 246015.35309999995 2551657.7775, 246015.35309999995 2551658.9784999993, 246014.15220000036 2551658.9784999993, 246013.55179999955 2551657.177100001))"
5,"POLYGON ((246152.25659999996 2551681.7957000006, 246140.24760000035 2551649.371200001, 246128.83889999986 2551650.5721000005, 246128.23849999998 2551659.5789, 246141.53399999999 2551687.5694999993, 246152.25659999996 2551681.7957000006))"
16,"POLYGON ((246343.53899999987 2551658.0260000005, 246341.7377000004 2551650.8204999994, 246338.13489999995 2551647.2178000007, 246323.12359999958 2551652.6218999997, 246327.9271999998 2551665.2314, 246343.53899999987 2551658.0260000005))"
5,"POLYGON ((246627.33079999965 2551658.8685999997, 246621.92669999972 2551646.2589999996, 246609.3172000004 2551652.864, 246617.12310000043 2551664.2726000007, 246627.33079999965 2551658.8685999997))"
4,"POLYGON ((246409.25090000033 2551651.1725999992, 246407.44959999993 2551646.9694, 246405.04779999983 2551648.7707, 246406.84910000023 2551651.773, 246409.25090000033 2551651.1725999992))"
4,"POLYGON ((246897.0889999997 2551664.9345999993, 246900.6453999998 2551650.7084999997, 246898.84410000034 2551648.9070999995, 246883.57330000028 2551646.9152000006, 246882.32569999993 2551660.0134999994, 246897.0889999997 2551664.9345999993))"
10,"POLYGON ((247366.64850000013 2551657.048800001, 247364.24670000002 2551646.240700001, 247355.2399000004 2551648.6425, 247357.64169999957 2551659.4507, 247366.64850000013 2551657.048800001))"
3,"POLYGON ((246181.6788999997 2551666.1839000005, 246169.56670000032 2551645.9970999993, 246160.01260000002 2551647.1435000002, 246167.7083999999 2551672.1712999996, 246181.6788999997 2551666.1839000005))"
5,"POLYGON ((246499.31900000013 2551653.5744000003, 246497.51769999973 2551645.7685000002, 246484.30769999977 2551652.9738999996, 246486.1091 2551658.3780000005, 246499.31900000013 2551653.5744000003))"
4,"POLYGON ((245232.07919999957 2551654.8082, 245231.4787999997 2551653.6073000003, 245232.07919999957 2551653.6073000003, 245232.07919999957 2551654.8082, 245236.2823999999 2551659.6119, 245244.68879999965 2551656.6096, 245238.45569999982 2551644.1435000002, 245219.20320000034 2551651.3398, 245224.87380000018 2551663.8149999995, 245232.6797000002 2551658.4110000003, 245232.07919999957 2551654.8082))"
7,"POLYGON ((244458.69450000022 2551653.6073000003, 244459.2949000001 2551644.0001, 244443.68310000002 2551645.8014, 244441.96750000026 2551652.6637999993, 244455.6922000004 2551655.4087000005, 244458.69450000022 2551653.6073000003))"
5,"POLYGON ((244596.19849999994 2551646.401900001, 244585.99069999997 2551644.0001, 244584.3761 2551646.152899999, 244584.37689999957 2551655.3259999994, 244594.55449999962 2551657.3616000004, 244596.19849999994 2551646.401900001))"
6,"POLYGON ((245455.5488 2551657.8488999996, 245455.59860000014 2551647.9245999996, 245447.75490000006 2551644.562999999, 245442.23809999973 2551646.401900001, 245439.83629999962 2551650.0045999996, 245441.03720000014 2551656.0090999994, 245448.2427000003 2551658.4110000003, 245455.5488 2551657.8488999996))"
7,"POLYGON ((246791.8552000001 2551654.0648999996, 246784.2697999999 2551643.7212000005, 246773.84159999993 2551648.6608000007, 246780.44660000037 2551661.8707999997, 246791.8552000001 2551654.0648999996))"
16,"POLYGON ((247108.40249999985 2551651.9093999993, 247105.40029999986 2551643.5030000005, 247100.59659999982 2551645.3044000007, 247101.19710000046 2551651.9093999993, 247108.40249999985 2551651.9093999993))"
6,"POLYGON ((244470.10309999995 2551656.0090999994, 244469.50270000007 2551643.399599999, 244461.69680000003 2551644.0001, 244462.40309999976 2551656.0090999994, 244470.10309999995 2551656.0090999994))"
9,"POLYGON ((245106.26400000043 2551659.0349000003, 245105.0630999999 2551641.6217, 245092.45349999983 2551642.2222000007, 245093.05399999954 2551660.8363000005, 245102.66119999997 2551661.4366999995, 245106.26400000043 2551659.0349000003))"
7,"POLYGON ((246300.3063000003 2551658.0260000005, 246292.50040000025 2551642.4141000006, 246278.08949999977 2551649.019099999, 246286.49590000045 2551665.2314, 246300.3063000003 2551658.0260000005))"
6,"POLYGON ((246671.16399999987 2551653.4645000007, 246665.75989999995 2551642.0558, 246653.75079999957 2551648.6608000007, 246659.15490000043 2551660.0694999993, 246671.16399999987 2551653.4645000007))"
8,"POLYGON ((246744.41930000018 2551654.6654000003, 246740.21619999968 2551641.4553999994, 246724.0038999999 2551652.2635999992, 246729.40799999982 2551660.6699, 246744.41930000018 2551654.6654000003))"
6,"POLYGON ((245088.25030000042 2551661.4366999995, 245088.25030000042 2551641.021299999, 245074.43989999965 2551641.6217, 245074.43989999965 2551661.4366999995, 245088.25030000042 2551661.4366999995))"
4,"POLYGON ((246638.7394000003 2551651.0626999997, 246635.6727 2551639.5624, 246624.32849999983 2551642.656300001, 246629.73259999976 2551657.0671999995, 246638.7394000003 2551651.0626999997))"
7,"POLYGON ((246823.07880000025 2551652.864, 246817.67470000032 2551640.8549000006, 246806.26609999966 2551647.459899999, 246806.8666000003 2551651.6631000005, 246812.8711000001 2551658.8685999997, 246823.07880000025 2551652.864))"
3,"POLYGON ((244850.7910000002 2551654.207800001, 244850.7910000002 2551651.806, 244846.58779999986 2551651.806, 244846.58779999986 2551644.6005000006, 244850.19049999956 2551642.7991000004, 244850.19049999956 2551640.9978, 244847.78870000038 2551640.9978, 244846.58779999986 2551642.1986999996, 244844.18599999975 2551642.1986999996, 244842.98510000017 2551654.8082, 244850.7910000002 2551654.207800001))"
6,"POLYGON ((245251.29509999976 2551660.8121000007, 245265.64379999973 2551652.840500001, 245260.1481999997 2551641.849199999, 245244.52689999994 2551647.0562999994, 245250.09289999958 2551660.2123000007, 245251.29509999976 2551660.8121000007))"
4,"POLYGON ((245286.12009999994 2551655.4087000005, 245283.9140999997 2551642.724300001, 245271.7092000004 2551643.4409999996, 245271.7092000004 2551648.8037, 245268.70689999964 2551651.205499999, 245275.9123999998 2551660.8127999995, 245286.12009999994 2551655.4087000005))"
6,"POLYGON ((246036.96949999966 2551649.9716, 246033.89400000032 2551641.7706000004, 246025.36000000034 2551644.1160000004, 246029.76400000043 2551652.3735000007, 246036.96949999966 2551649.9716))"
6,"POLYGON ((245981.7276999997 2551649.9716, 245978.72539999988 2551640.9648, 245969.71860000025 2551642.1657, 245969.71860000025 2551649.371200001, 245977.5245000003 2551651.773, 245981.7276999997 2551649.9716))"
15,"POLYGON ((247069.9735000003 2551650.107999999, 247068.7725999998 2551639.9003, 247059.76580000017 2551641.1011999995, 247060.36620000005 2551649.5075000003, 247063.96889999975 2551651.3089000005, 247069.9735000003 2551650.107999999))"
5,"POLYGON ((246003.34399999958 2551651.773, 246001.04729999974 2551637.9925999995, 245981.7276999997 2551640.9648, 245982.92860000022 2551651.1725999992, 245995.53809999954 2551653.5744000003, 246003.34399999958 2551651.773))"
